studyName	processAppUsage	processScreenUsage	allowStopEventReuse	useActivityStoppedAsFallback	applyThresholdToFallback	longDurationThresholdHours	correctDuplicateEventTimestamps	deduplicateExactRows	selectedTimezone	timezoneHandling	useFilterFile	useAppsForcingScreenOpenFile	useBackgroundAppsFile	useAppCodebook	includeCategoryColumn	enablePlotting	includeFilteredAppUsageInPlots	enableActivityHeatmap	exportPlotsAsSvg	enableAggregates	aggregateShape	enableParquetExport	enableSpssExport	enableInteractiveTimeline	minimumUsageDuration	filterZeroDurationSessions	customAppEngagementDuration	longUsageDurationThresholds	longDataTimeGapThresholds	screenUsageAutoLockTimeoutSeconds	screenUsageAutoLockToleranceSeconds	screenUsageManualLockMaxTailGapSeconds	screenUsageKeyguardNearStopSeconds	parallelProcessing	parallelMaxWorkers	sameAppInteractionTypesToStopUsageAt	otherInteractionTypesToStopUsageAt	modelConcurrentUsage	applyMinimumUsageDurationToConcurrentSubintervals	interactionTypesToRemove	interactionTypeRemap	proximityIntervalSeconds	addNoActivityPlaceholderDays	enableScreenGatedCrediting	creditedSessionCapMinutes	deviceLivenessGapToleranceMinutes	autoLockBridgeSeconds	noWitnessMinDayApps	enableStudyWindowFilter	enablePersonAttribution	enableComplianceScoring	complianceThresholdPercent	enableDayCoverage
named	false	true	false	true	true	h12	false	false	none	primary_convert	false	true	false	true	true	false	true	false	true	false	long	true	false	true	s0	true	s300	empty	empty	s120	s0	s30	s2	false	w2	empty	empty	false	true	usage_stat	custom	s2	false	false	m360	m0	s120	n0	true	false	true	p70	false
empty	true	false	true	false	false	h1	true	true	america_new_york	selected_convert	true	false	true	false	false	true	false	true	false	true	wide	false	true	false	s60	false	s0	default	default	s0	s30	s0	s0	true	unset	default	default	true	false	none	custom	s0	true	true	m0	m120	s0	n2	false	true	false	p100	true
named	true	true	false	false	false	h12	true	false	none	primary_filter	true	true	true	true	false	true	true	true	true	true	long	false	false	false	s0	false	s0	default	empty	s0	s0	s0	s2	true	unset	empty	empty	true	true	none	none	s60	false	false	m0	m120	s120	n2	true	true	true	p70	true
empty	false	false	true	true	true	h1	false	true	america_chicago	selected_filter	false	false	false	false	false	false	false	false	false	false	wide	true	true	true	s60	true	s300	empty	default	s120	s30	s30	s0	false	w2	default	default	false	false	usage_stat	none	s60	true	true	m360	m0	s0	n0	false	false	false	p70	false
empty	true	true	true	true	false	h12	true	false	america_chicago	selected_filter	false	false	true	false	true	true	true	false	false	false	long	false	true	false	s0	false	s0	default	empty	s120	s30	s0	s2	true	w2	empty	default	false	true	none	none	s2	true	false	m360	m120	s0	n0	false	true	true	p0	false
named	false	false	false	false	true	h1	false	true	america_new_york	selected_convert	true	true	false	true	true	false	false	true	true	true	wide	false	false	true	s0	true	s300	empty	default	s0	s0	s30	s0	false	unset	default	empty	true	false	usage_stat	custom	s60	false	true	m0	m0	s120	n2	true	false	false	p0	true
named	false	true	true	false	false	h1	false	true	none	primary_filter	false	false	true	true	true	true	false	true	false	false	long	true	false	true	s60	true	s300	empty	default	s0	s0	s0	s2	false	unset	default	empty	false	true	none	custom	s0	true	false	m360	m0	s120	n2	false	true	false	p0	false
empty	true	false	false	true	true	h1	true	false	none	primary_convert	true	true	false	false	false	false	true	false	true	true	wide	true	true	false	s60	false	s0	default	empty	s120	s30	s30	s0	true	w2	empty	default	true	false	usage_stat	none	s60	false	true	m0	m120	s0	n0	true	false	true	p100	true
empty	true	true	false	true	true	h12	false	false	america_new_york	selected_convert	true	false	true	true	false	false	true	false	true	false	long	true	false	false	s0	true	s0	default	empty	s120	s0	s30	s0	false	w2	empty	default	false	true	usage_stat	none	s0	false	true	m360	m0	s120	n2	false	true	false	p100	false
named	false	false	true	false	false	h12	true	false	none	primary_filter	false	true	false	false	true	false	false	false	false	true	wide	false	true	true	s60	false	s300	empty	default	s120	s30	s0	s2	true	unset	default	empty	true	false	none	custom	s2	true	false	m360	m120	s0	n0	true	false	true	p100	true
named	false	false	false	false	true	h12	false	true	america_chicago	selected_filter	true	true	false	true	false	true	true	true	true	true	long	true	false	false	s0	false	s0	empty	default	s0	s0	s0	s2	true	w2	empty	empty	false	false	usage_stat	custom	s2	false	true	m0	m0	s0	n2	true	false	true	p100	true
empty	true	true	true	true	true	h1	true	true	none	primary_filter	false	true	false	true	false	true	false	true	true	false	wide	true	true	true	s0	true	s300	default	empty	s0	s30	s30	s0	false	w2	empty	default	true	true	none	none	s0	true	true	m0	m120	s120	n0	false	true	false	p0	true
empty	false	true	false	true	false	h1	false	false	america_new_york	selected_convert	false	false	true	false	true	true	true	true	false	true	wide	true	false	false	s60	true	s300	default	empty	s120	s0	s30	s0	true	unset	default	empty	true	false	usage_stat	none	s2	false	false	m0	m120	s120	n0	true	false	true	p70	false
named	true	false	true	false	false	h1	true	false	america_chicago	selected_convert	true	false	true	true	true	false	false	false	false	true	wide	true	true	true	s0	false	s0	empty	default	s0	s0	s30	s2	false	unset	default	default	true	true	usage_stat	custom	s0	false	false	m0	m0	s120	n2	true	false	true	p70	true
named	false	true	false	true	true	h12	false	false	america_new_york	selected_filter	true	true	false	false	true	true	false	true	false	false	long	false	false	false	s60	false	s0	default	empty	s120	s30	s30	s2	false	unset	default	default	true	true	none	none	s2	true	true	m0	m120	s120	n0	false	true	false	p0	true
named	true	true	true	true	true	h1	true	true	america_new_york	selected_filter	false	false	true	false	false	true	false	false	false	false	long	true	true	false	s0	true	s300	empty	empty	s120	s30	s30	s2	true	w2	default	default	false	false	none	none	s0	false	true	m360	m0	s120	n2	false	false	true	p0	true
named	true	true	true	false	true	h12	true	false	none	primary_filter	true	true	false	true	true	false	true	false	false	false	long	false	true	true	s0	true	s0	default	empty	s120	s30	s0	s2	true	w2	empty	empty	true	false	usage_stat	custom	s0	true	true	m360	m120	s120	n2	false	false	true	p100	true
empty	false	false	true	false	false	h1	true	true	none	primary_convert	false	false	true	false	false	true	false	true	false	false	long	false	true	false	s60	true	s300	default	default	s0	s0	s0	s2	true	unset	default	default	false	true	none	none	s0	true	false	m0	m120	s120	n2	false	true	false	p0	true
